Primary Category,Secondary Category,Tertiary Category,Tags Explanation,embedding_reference
Company's Industry,-,Mining,"Mining companies extract valuable minerals and resources from the earth, supplying essential materials for construction, manufacturing, and energy sectors.",taxonomy_138.json
Company's Industry,-,Oil and Gas,"Oil and gas firms explore, extract, and refine petroleum and natural gas products, playing a vital role in global energy supply and economic development.",taxonomy_139.json
Company's Industry,-,Pharmaceuticals,"Pharmaceutical companies research, develop, and produce medications, aiming to improve health and treat diseases, significantly impacting public health.",taxonomy_140.json
Company's Industry,-,Professional Services,"Professional services firms provide specialized expertise, including legal, accounting, and consulting services, supporting businesses and individuals in various sectors.",taxonomy_141.json
Company's Industry,-,Real Estate,"Real estate companies engage in buying, selling, and managing properties, including residential, commercial, and industrial assets, influencing market dynamics.",taxonomy_142.json
Company's Industry,-,Retail,"Retail companies sell goods and services directly to consumers, encompassing both physical stores and online platforms, shaping consumer behavior and trends.",taxonomy_143.json
Company's Industry,-,Technology,"Technology firms develop and apply scientific innovations across various fields, driving digital transformation and enhancing efficiency in business operations.",taxonomy_144.json
Company's Industry,-,Telecommunications,"Telecommunications companies facilitate communication through various media, providing essential services like internet, phone, and broadcasting to individuals and businesses.",taxonomy_145.json
Company's Industry,-,Textile and Apparel,"Textile and apparel companies produce and market fabrics and clothing, encompassing design, manufacturing, and retail processes within the fashion industry.",taxonomy_146.json
Company's Industry,-,Tourism,"Tourism companies provide travel-related services, promoting leisure and business travel, and contributing to economic growth through hospitality and cultural exchange.",taxonomy_147.json
Company's Industry,-,Transportation,"Transportation companies manage the movement of people and goods through various modes, including road, rail, air, and sea, ensuring connectivity and logistics.",taxonomy_148.json
Company's Size,-,Startup,"A startup is a newly established company, often focused on innovative products or services, typically in the early stages of development and seeking growth opportunities.",taxonomy_149.json
Company's Size,-,SME,"SME, or Small and Medium-sized Enterprise, refers to businesses with a limited number of employees and revenue, playing a crucial role in economic development and job creation.",taxonomy_150.json
Company's Size,-,After Series D fundraising,"After Series D fundraising indicates a company that has successfully raised four rounds of funding, often focusing on scaling operations and preparing for significant growth or potential IPO.",taxonomy_151.json
Company's Size,-,Pre-IPO,"Pre-IPO describes a company that is preparing to go public by offering shares to the public for the first time, often focusing on compliance and financial reporting.",taxonomy_152.json
Company's Size,-,Public company,"A public company is a corporation whose shares are traded on a stock exchange, allowing public investors to buy and sell ownership stakes, subject to regulatory requirements.",taxonomy_153.json
Corporate Practices,-,Employee Stock Option Plan,"An Employee Stock Option Plan (ESOP) is a program that provides employees with the option to purchase company shares at a predetermined price, fostering employee ownership and aligning their interests with those of shareholders. ESOPs can enhance motivation, retention, and overall company performance, while also offering potential tax benefits for the company and employees.",taxonomy_154.json
Corporate Practices,-,Related Party Transaction,"A related party transaction occurs when a company engages in business dealings with parties that have a close relationship, such as shareholders, executives, or family members. These transactions must be disclosed in financial statements to ensure transparency and compliance with regulations, as they can pose potential conflicts of interest and affect financial reporting.",taxonomy_155.json
Corporate Practices,-,Merger & Acquisition,"Merger and acquisition (M&A) activities involve the consolidation of companies through various strategies, including mergers, where two companies combine to form a new entity, and acquisitions, where one company purchases another. M&A can enhance market share, diversify product offerings, and achieve synergies, but they also require careful due diligence, valuation, and integration planning to realize their benefits.",taxonomy_156.json
Corporate Practices,-,Transfer Pricing,"Transfer pricing refers to the pricing of goods, services, and intangibles between related entities within multinational corporations. This practice is critical for tax compliance and ensuring that profits are reported in the appropriate jurisdictions. Proper transfer pricing strategies help mitigate tax risks and comply with local regulations while maximizing overall tax efficiency for the corporate group.",taxonomy_157.json
Corporate Practices,-,IPO,"An Initial Public Offering (IPO) is the process by which a private company offers its shares to the public for the first time, transitioning into a public company. This strategy raises capital for growth, enhances visibility, and provides liquidity for existing shareholders. IPOs require rigorous financial reporting, regulatory compliance, and a strong marketing approach to attract investors.",taxonomy_158.json
Corporate Practices,-,Tax Accounting,"Tax accounting involves the preparation of tax returns and adherence to tax laws and regulations, ensuring compliance and optimizing tax liabilities. Companies utilize various accounting methods, such as cash or accrual accounting, to accurately report income and expenses. Effective tax accounting is essential for strategic financial planning and minimizing tax exposure while maximizing available deductions and credits.",taxonomy_159.json
Corporate Practices,-,Corporate Tax Strategy,"A corporate tax strategy encompasses the planning and implementation of tax policies aimed at minimizing a company's tax liabilities while ensuring compliance with tax laws. This strategy involves analyzing different jurisdictions, optimizing corporate structure, and leveraging available incentives. A well-crafted tax strategy enhances cash flow, supports business objectives, and mitigates risks associated with tax audits and penalties.",taxonomy_160.json
Year of Law (Timeframe),-,1990,The year of 1990,taxonomy_161.json
Year of Law (Timeframe),-,1991,The year of 1991,taxonomy_162.json
Year of Law (Timeframe),-,1992,The year of 1992,taxonomy_163.json
Year of Law (Timeframe),-,1993,The year of 1993,taxonomy_164.json
Year of Law (Timeframe),-,1994,The year of 1994,taxonomy_165.json
Year of Law (Timeframe),-,1995,The year of 1995,taxonomy_166.json
Year of Law (Timeframe),-,1996,The year of 1996,taxonomy_167.json
Year of Law (Timeframe),-,1997,The year of 1997,taxonomy_168.json
Year of Law (Timeframe),-,1998,The year of 1998,taxonomy_169.json
Year of Law (Timeframe),-,1999,The year of 1999,taxonomy_170.json
Year of Law (Timeframe),-,2000,The year of 2000,taxonomy_171.json
Year of Law (Timeframe),-,2001,The year of 2001,taxonomy_172.json
Year of Law (Timeframe),-,2002,The year of 2002,taxonomy_173.json
Year of Law (Timeframe),-,2003,The year of 2003,taxonomy_174.json
Year of Law (Timeframe),-,2004,The year of 2004,taxonomy_175.json
Year of Law (Timeframe),-,2005,The year of 2005,taxonomy_176.json
Year of Law (Timeframe),-,2006,The year of 2006,taxonomy_177.json
Year of Law (Timeframe),-,2007,The year of 2007,taxonomy_178.json
Year of Law (Timeframe),-,2008,The year of 2008,taxonomy_179.json
Year of Law (Timeframe),-,2009,The year of 2009,taxonomy_180.json
Year of Law (Timeframe),-,2010,The year of 2010,taxonomy_181.json
Year of Law (Timeframe),-,2011,The year of 2011,taxonomy_182.json
Year of Law (Timeframe),-,2012,The year of 2012,taxonomy_183.json
Year of Law (Timeframe),-,2013,The year of 2013,taxonomy_184.json
Year of Law (Timeframe),-,2014,The year of 2014,taxonomy_185.json
Year of Law (Timeframe),-,2015,The year of 2015,taxonomy_186.json
Year of Law (Timeframe),-,2016,The year of 2016,taxonomy_187.json
Year of Law (Timeframe),-,2017,The year of 2017,taxonomy_188.json
Year of Law (Timeframe),-,2018,The year of 2018,taxonomy_189.json
Year of Law (Timeframe),-,2019,The year of 2019,taxonomy_190.json
Year of Law (Timeframe),-,2020,The year of 2020,taxonomy_191.json
Year of Law (Timeframe),-,2021,The year of 2021,taxonomy_192.json
Year of Law (Timeframe),-,2022,The year of 2022,taxonomy_193.json
Year of Law (Timeframe),-,2023,The year of 2023,taxonomy_194.json
Year of Law (Timeframe),-,2024,The year of 2024,taxonomy_195.json
Year of Law (Timeframe),-,2025,The year of 2025,taxonomy_196.json
Year of Law (Timeframe),-,2026,The year of 2026,taxonomy_197.json
Year of Law (Timeframe),-,2027,The year of 2027,taxonomy_198.json
Year of Law (Timeframe),-,2028,The year of 2028,taxonomy_199.json
Year of Law (Timeframe),-,2029,The year of 2029,taxonomy_200.json
Year of Law (Timeframe),-,2030,The year of 2030,taxonomy_201.json
Year of Law (Timeframe),-,2031,The year of 2031,taxonomy_202.json
Year of Law (Timeframe),-,2032,The year of 2032,taxonomy_203.json
Year of Law (Timeframe),-,2033,The year of 2033,taxonomy_204.json
Year of Law (Timeframe),-,2034,The year of 2034,taxonomy_205.json
Year of Law (Timeframe),-,2035,The year of 2035,taxonomy_206.json
